Questions,Answers,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: UNIVERSITY ORGANISATIONAL STRUCTURE ,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: UNIVERSITY OWNERSHIP ,,,,,,,,,,,,,,,,,,,,,,,,,
Is IUEA a public or a private university?,IUEA is a private university,,,,,,,,,,,,,,,,,,,,,,,,
Who owns IUEA?,The Board of Trustees is the highest authority of the University and constitutes the ownership of the university. The overall function of the BOT is to exercise guardianship over the university.,,,,,,,,,,,,,,,,,,,,,,,,
Who are the members of IUEA's Board of Trustees?,"Mr. Alwi Hassan, Hon. Justice Alphonse Owiny Dollo, Amb. Hassan Alwi, Mr. Mohammed Mubiru and Mr. Jack Ogola.",,,,,,,,,,,,,,,,,,,,,,,,"Mr. Alwi Hassan, Hon. Justice Alphonse Owiny Dollo, Amb. Hassan Alwi, Mr. Mohammed Mubiru and Mr. Jack Ogola."
SUB-CATEGORY: ACADEMIC STAFF,,,,,,,,,,,,,,,,,,,,,,,,,
Who is the Chancellor of IUEA?,"At IUEA, we are honoured to have Amb. (Dr.) Amina Mohamed as our Chancellor.",,,,,,,,,,,,,,,,,,,,,,,,
Who is the Vice Chancellor of IUEA?,"At IUEA, we are honoured to have Prof. Emeka Akaezuwa as our Vice Chancellor.",,,,,,,,,,,,,,,,,,,,,,,,
Who is the Deputy Vice-Chancellor of IUEA?,Prof. Lakshmi Bhabuu is the Deputy Vice-Chancellor and Dean of the Faculty of Science & Technology.,,,,,,,,,,,,,,,,,,,,,,,,
Who is the Academic Registrar at IUEA?,Madam Katushabe Gloria is the academic registrar at IUEA,,,,,,,,,,,,,,,,,,,,,,,,
Who is the Dean of Business and Management at IUEA?,Mr. Jimmy Opoka is the Acting Dean for the Faculty of Business and Management ,,,,,,,,,,,,,,,,,,,,,,,,
Who is the Dean of Science and Technology at IUEA?,Prof. Lakshmi Bhabuu is the Deputy Vice-Chancellor and Dean of the Faculty of Science & Technology.,,,,,,,,,,,,,,,,,,,,,,,,
Who is the Dean of Law and Humanities at IUEA?,Mr. Emmanuel Sebijjo Ssemmanda is the Dean of the Faculty of Law and Humanities,,,,,,,,,,,,,,,,,,,,,,,,
Who is the Dean of Engineering at IUEA?,Dr. Abdulsalam Shema is the Dean of Engineering and Head of Department for Architecture ,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: FACULTIES ,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: FACULTIES ,,,,,,,,,,,,,,,,,,,,,,,,,
What faculties does IUEA have?,"IUEA offers four dynamic faculties: Business and Management, Science and Technology, Engineering, and Law and Humanities. Beyond these, we also have the Department of Higher Education, which is responsible for our Higher Education Access Programme/ International Foundation Programme; the Centre of Language and Professional Skills, which is responsible for our English short course; and the French Language Centre",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: FACULTY ADMINISTRATORS,,,,,,,,,,,,,,,,,,,,,,,,,
Who is the faculty administrator for the Faculty of Business and Management?,Mr. Ecima Robert Alex and Ahmed,,,,,,,,,,,,,,,,,,,,,,,,
Who is the faculty administrator for the Faculty of Science and Technology?,Ms. Ikilai Sarah,,,,,,,,,,,,,,,,,,,,,,,,
Who is the faculty administrator for the Faculty of Engineering?,Mr Ssendagire Allan Mark and Emili Muwua,,,,,,,,,,,,,,,,,,,,,,,,
Who is the faculty administrator for the Faculty of Law and Humanities?,Ms. Asma Stephen Kang,,,,,,,,,,,,,,,,,,,,,,,,
Who is the faculty administrator for the Department of Higher Education?,Ms Rannie Hadijah and Miss Maya,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: FACULTY CONTACT INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,
How do I contact the Faculty of Business and Management?,You can reach out to our Faculty of Business and Management by emailing us at ecima.robert@iuea.ac.ug,,,,,,,,,,,,,,,,,,,,,,,,
How do I contact the  Faculty of Science and Technology?,You can reach out to our Faculty of Science and Technology by emailing us at ikilai.sarah@iuea.ac.ug,,,,,,,,,,,,,,,,,,,,,,,,
How do I contact the Faculty of Engineering?,You can reach out to our Faculty of Engineering by emailing us at ssendagire.allan@iuea.ac.ug,,,,,,,,,,,,,,,,,,,,,,,,
How do I contact the Faculty of Law and Humanities?,You can reach out to our Faculty of Law and Humanities by emailing us at asma.stephan@iuea.ac.ug,,,,,,,,,,,,,,,,,,,,,,,,
How do I contact the Department of Higher Education?,You can reach out to our Department of Higher Education by emailing us at rannie.hadijja@iuea.ac.ug,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: COURSES ,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: GENERAL INFORMATION ABOUT ALL IUEA COURSES,,,,,,,,,,,,,,,,,,,,,,,,,
Are there IUEA courses with classes held during the weekend?,"While the majority of on-campus/ physical classes are held during weekdays, online classes are recorded and saved on the platform, allowing students to attend classes at a time and place convenient for them. Only our CISCO short course has on-campus/ physical classes on Saturdays.",,,,,,,,,,,,,,,,,,,,,,,,
Are there IUEA courses with classes held in the evening?,"Majority of classes are held during the morning and afternoon hours, online classes are recorded and saved on the platform, allowing students to attend classes at a time and place convenient for them and, in addition, master programmes have physical classes in the evenings, making it ideal for even working professionals  ",,,,,,,,,,,,,,,,,,,,,,,,
How do I find my class schedule?,"On-campus students can find timetables or class schedules pinned up on the notice boards around campus while online students can find their class schedules on the platform. However, all students can get their schedules through their faculty administrators.",,,,,,,,,,,,,,,,,,,,,,,,
How long does a class or lecture take?,"The duration of lectures varies. However, lectures typically last for a maximum of 3 hours. ",,,,,,,,,,,,,,,,,,,,,,,,
What is the process for independent study registration?,Independent study sessions can be set up with the dean of a student's respective faculty.,,,,,,,,,,,,,,,,,,,,,,,,
Who can help me with academic advice?,"To receive advice in regards to courses you can do or career guidance, please visit the marketing office ",,,,,,,,,,,,,,,,,,,,,,,,
How can I find out about research opportunities in my field?,"The university engages in numerous research in climate change, recycling, A.I, machine learning, cyber security, robotics among others. Assistance to find research opportunities can be obtained from the dean or from the Office of Research and Innovation at IUEA. Research opportunities are multidisciplinary. ",,,,,,,,,,,,,,,,,,,,,,,,
What tutoring services are available?,Tutoring services are available at the faculty level and also at a student interest group level. Tutoring is also available as a paid service for those who need it.,,,,,,,,,,,,,,,,,,,,,,,,
Are there any study abroad programs?,"Due to our programmes being internationally accredited, IUEA graduates can pursue employment or further studies in many different countries around the world.",,,,,,,,,,,,,,,,,,,,,,,,
Do you offer any PhD programmes?,"While not offered at the moment, PhD programmes in Business Administration, Information Systems and Technology Management are coming soon.",,,,,,,,,,,,,,,,,,,,,,,,
Does IUEA offer Music and Arts and how can I apply for that?,"While the IUEA faculty of music and arts was launched by Davido on the 29th of March, 2024, more information will be made available soon. In the meantime, please help us with your full name and email address so that we may stay in touch. For additional information, please do not hesitate to contact us by email at info@iuea.ac.ug.",,,,,,,,,,,,,,,,,,,,,,,,
How do I drop or add a course?,"If you would like to change your course, please contact the admissions team via the email address, apply@iuea.ac.ug or call +256 705 722 300 / +256 790002000",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: COURSES IN BUSINESS AND MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,
What Business courses are available at IUEA at the Bachelor Level?,"In the faculty of Business and Management, we have a Bachelor of Business Administration, Bachelor of Public Administration, Bachelor of Procurement and Logistics Management, Bachelor of Tourism and Hotel Management, Bachelor of Human Resource Management and Bachelor of Journalism and Communication Studies.",,,,,,,,,,,,,,,,,,,,,,,,
What Business Master's or postgraduate courses are available at IUEA?,"For Master's or Postgraduate programmes in Business and Management, we have a Master of Business Administration. ",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: COURSES IN LAW AND HUMANITIES,,,,,,,,,,,,,,,,,,,,,,,,,
What Law and humanities courses are available at IUEA at the Bachelor Level?,"In the Faculty of Law and Humanities, we have a Bachelor of Laws (LLB) and Bachelor of International Relations and Diplomatic Studies.",,,,,,,,,,,,,,,,,,,,,,,,
What humanities Master's or postgraduate courses are available at IUEA?,"In the Faculty of Law and Humanities, we have a Master of International Relations and Diplomatic Studies.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: CERTIFICATE COURSES,,,,,,,,,,,,,,,,,,,,,,,,,
What certificate courses are available at IUEA?,IUEA has a Higher Education Access Programme for Arts and a Higher Education Access Programme programme for Sciences. We also have a CISCO short Certificate course.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: COURSES IN SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
What computer courses are available at IUEA at the Bachelor's level?,"In the faculty of Science and Technology, we have a Bachelor of Science in Computer Science, a Bachelor of Information Technology, a Bachelor of Science in Software Engineering,  Bachelor of Science in Climate Smart Agriculture and a Bachelor of Science in Environmental Science and Management.",,,,,,,,,,,,,,,,,,,,,,,,
What Science and Technology courses are available at IUEA at the Bachelor Level?,"In the faculty of Science and Technology, we have a Bachelor of Science in Computer Science, a Bachelor of Information Technology, a Bachelor of Science in Software Engineering,  Bachelor of Science in Climate Smart Agriculture and a Bachelor of Science in Environmental Science and Management.",,,,,,,,,,,,,,,,,,,,,,,,
What Science and Technology Master's or postgraduate courses are available at IUEA?,"For Master's or Postgraduate programmes in Science and Technology, we have a Master of Information Technology. ",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: COURSES IN ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,
What engineering courses are available at IUEA at the Bachelor's level?,"In the faculty of Engineering, we have a Bachelor of Science in Electrical Engineering, a Bachelor of Science in Civil Engineering, a Bachelor of Architecture, a Bachelor of Science in Petroleum Engineering, a Bachelor of Science in Mechatronics and Robotics, Bachelor of Science in Communications Engineering and a Bachelor of Science in Mining Engineering.",,,,,,,,,,,,,,,,,,,,,,,,
What engineering courses are available at IUEA at the Diploma Level?,"In the faculty of Engineering, we have a diploma in Electrical Engineering, a diploma in Civil Engineering and a diploma in Architecture.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: LANGUAGE COURSES ,,,,,,,,,,,,,,,,,,,,,,,,,
What language courses are available at IUEA?,"IUEA offers certificate courses in both English and French. The English course has three levels: Beginner, Elementary, and Intermediate. It costs 100 USD per level and lasts for two months. Before enrolling, students are required to take an English placement test, which helps determine the appropriate starting level. Registration for the English course can be completed at the university between 8:00 a.m. and 5:00 p.m., Monday to Friday, and an application fee of 15,000 Ugandan Shillings (UGX) is required.

The French language course at IUEA consists of four levels. Each level costs 200,000 UGX, and there is a registration fee of 50,000 UGX. Students can attend classes from Monday to Friday between 2:00 p.m. and 4:00 p.m. or 5:30 p.m. and 7:30 p.m. Weekend classes are available as well, with sessions on Saturday from 10:00 a.m. to 1:00 p.m. and on Sunday from 3:00 p.m. to 6:00 p.m. To register for the French course, students should contact +256 784 079781 or +256 777 426886.",,,,,,,,,,,,,,,,,,,,,,,,
Does IUEA have an English Language course?,"The English language course at IUEA is designed with three levels: Beginner, Elementary, and Intermediate. Students are required to take an English test to assess their current proficiency, and based on the results, they will be placed at the appropriate level. Each level costs 100 USD and the course duration is two months. To register, students must visit the university in person between 8:00 a.m. and 5:00 p.m., Monday to Friday. There is an application fee of 15,000 Ugandan Shillings (UGX) that must be paid at the time of registration.",,,,,,,,,,,,,,,,,,,,,,,,
Does IUEA have a French Language course?,"The French language course at IUEA is structured into four levels. Each level costs 200,000 Ugandan Shillings (UGX), and a separate registration fee of 50,000 UGX must be paid. Students have flexible scheduling options, with weekday classes available from 2:00 p.m. to 4:00 p.m. or from 5:30 p.m. to 7:30 p.m. Weekend classes are also available, running from 10:00 a.m. to 1:00 p.m. on Saturdays and from 3:00 p.m. to 6:00 p.m. on Sundays. To apply for the French course, students should contact +256 784 079781 or +256 777 426886.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: SHORT COURSES ,,,,,,,,,,,,,,,,,,,,,,,,,
What short courses are available at IUEA?,"At the moment, IUEA has a professional short course currently running called CISCO, a short English Language Certificate programme, French Language Certificate Programme and, for a limited time only, a Silicon Valley Innovation and Entrepreneurship programme.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: ONLINE COURSES,,,,,,,,,,,,,,,,,,,,,,,,,
Does IUEA have online courses?,"Yes, IUEA offers 7 accredited courses online.",,,,,,,,,,,,,,,,,,,,,,,,
Which courses are available online?,"IUEA offers 7 accredited courses online: Master of Business Administration, Higher Education Access Programme, Masters of Information Technology, Bachelor of  Business Administration, Bachelor of Laws, Bachelor of Information Technology and the Silicon Valley Innovation and Entrepreneurship course.",,,,,,,,,,,,,,,,,,,,,,,,
Can I study the Higher Education Access Programme online?,"Yes, our highly sought-after Higher Education Access Programme is conveniently accessible online through our intuitive e-learning platform.",,,,,,,,,,,,,,,,,,,,,,,,
Can I study the Masters of Business Administration (MBA) online?,"Yes, our highly sought-after Masters of Business Administration (MBA)  is conveniently accessible online through our intuitive e-learning platform.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: COURSES AND PROGRAMS THAT ARE NOT OFFERED IN THE IUEA,,,,,,,,,,,,,,,,,,,,,,,,,
,"Computer Engineering: Computer Engineering uniquely integrates hardware design and software development, which is not fully covered by these degrees.",,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: DURATION OF IUEA COURSES,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF IUEA BACHELOR COURSES IN BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Business Administration?,A Bachelor of Business Administration has a duration of 3 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Public Administration?,A Bachelor of Public Administration has a duration of 3 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Procurement Logistics Management?,A  Bachelor of Procurement Logistics Management has a duration of 3 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Tourism and Hotel Management?,A Bachelor of Tourism and Hotel Management has a duration of 3 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Journalism and Communication Studies?,A Bachelor of Journalism and Communication Studies has a duration of 3 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Human Resource Management?,A  Bachelor of Human Resource Management has a duration of 3 years,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF IUEA MASTER/ POST-GRADUATE COURSES IN BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Masters of Business Administration?,A Master of Business Administration has a duration of 2 years,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF IUEA SHORT COURSES IN SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for CISCO?,CISCO has a duration of 3 months,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF IUEA BACHELOR COURSES IN SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Science in Computer Science?,A Bachelor of Science in Computer Science has a duration of 3 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Information Technology?,A  Bachelor of Information Technology has a duration of 3 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Science in Software Engineering?,A Bachelor of Science in Software Engineering has a duration of 4 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Science in Climate-Smart Agriculture?,A Bachelor of Science in Climate-Smart Agriculture has a duration of 3 years ,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Science in Environmental Science and Management?,A Bachelor of Science in Environmental Science and Management has a duration of 3 years,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF IUEA MASTER COURSES IN SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Master of Information Technology?,A Master of Information Technology has a duration of 2 years,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF IUEA DIPLOMA COURSES IN ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a diploma in Electrical Engineering?,A diploma in Electrical Engineering has a duration of 2 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a diploma in Civil Engineering?,A diploma in Civil Engineering has a duration of 2 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a diploma in Architecture?,A diploma in Architecture has a duration of 2 years,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF IUEA BACHELOR COURSES IN ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Science in Electrical Engineering?,A Bachelor of Science in Electrical Engineering has a duration of 4 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Science in Civil Engineering?,A Bachelor of Science in Civil Engineering has a duration of 4 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of a Bachelor of Architecture?,A Bachelor of Architecture has a duration of 5 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Science in Mechatronics and Robotics Engineering?,A Bachelor of Science in Mechatronics and Robotics Engineering has a duration of 4 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration for a Bachelor of Science in Mining Engineering?,A Bachelor of Science in Mining Engineering has a duration of 4 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of a Bachelor of Science in Communications Engineering?,A Bachelor of Science in Communications Engineering has a duration of 4 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of a Bachelor of Science in Petroleum Engineering?,A Bachelor of Science in Petroleum Engineering has a duration of 4 years,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF IUEA BACHELOR COURSES IN LAW AND HUMANITIES,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of a Bachelor of Law (LLB)?,A Bachelor of Law (LLB) has a duration of 4 years,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of a Bachelor of International Relations and Diplomatic Studies?,A Bachelor of International Relations and Diplomatic Studies has a duration of 3 years ,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF IUEA MASTER/ POST-GRADUATE COURSES IN LAW AND HUMANITIES,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of a Master of International Relations and Diplomatic Studies?,A Master of International Relations and Diplomatic Studies has a duration of 2 years ,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF THE IUEA HIGHER EDUCATION ACCESS PROGRAMME COURSES,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of a Higher Education Access Programme in Arts?,"A Higher Education Access Programme in Arts has a duration 2 semesters, with each semester being 4 months",,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of a Higher Education Access Programme in Sciences?,"A Higher Education Access Programme in Sciences has a duration 2 semesters, with each semester being 4 months",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF THE ENGLISH LANGUAGE SHORT COURSE,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of the English course?,The English course has a duration of 2 months,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of the French course?,"The French course has a duration of 4 months, with each level being 1 month ",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DURATION OF THE IUEA SILICON VALLEY INNOVATION AND ENTREPRENEURSHIP COURSE,,,,,,,,,,,,,,,,,,,,,,,,,
What is the duration of the Silicon Valley Innovation and Entrepreneurship course?,"The Silicon Valley Innovation and Entrepreneurship course has a duration of 10 weeks. For more information, please follow the link: https://iuea.ac.ug/innovations-entrepreneurship-webinar-and-workshop-short-course/",,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: COURSE SPECIALISATIONS ,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: SPECIALISATIONS FOR BUSINESS AND MANAGEMENT COURSES,,,,,,,,,,,,,,,,,,,,,,,,,
What are the specialisations of your Bachelor of Business Administration?,"Marketing & Entrepreneurship, Banking & Finance and Accounting",,,,,,,,,,,,,,,,,,,,,,,,
What are the specialisations of your Master of Business Administration?,"Our Master of Business Administration (MBA) offers specialisations in  Accounting and Finance, Project Planning Management, Public Policy and Administration, Marketing and Entrepreneurship, Human Resources Management and Procurement and Supply Chain Management.
",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: SPECIALISATIONS FOR SCIENCE AND TECHONOLOGY COURSES,,,,,,,,,,,,,,,,,,,,,,,,,
What are the specialisations of your Bachelor of Information Technology?,"Our Bachelor of Information Technology (BIT) has specialisations in Web Development, Mobile Programming and Networking
",,,,,,,,,,,,,,,,,,,,,,,,
What are the specialisations of MIT?,"Our Masters of Information Technology (MIT) has specialisations in Programming, E-Commerce, Big Data Analytics, Cyber Law and IT Ethics, Information And Network Security and Virtualisation And Cloud Computing.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: GENERAL INFORMATION ABOUT ONLINE COURSES,,,,,,,,,,,,,,,,,,,,,,,,,
Is there a difference in tuition for on-campus and online courses?,All online courses have the same tuition as their on-campus versions ,,,,,,,,,,,,,,,,,,,,,,,,
Are online courses examined online?,"Yes, our online courses are 100% online. This includes assessments and examinations.",,,,,,,,,,,,,,,,,,,,,,,,
Do you offer Engineering online?,"No, we don't. A quality education in engineering requires practical skills and development, which can only be accessed on-campus at our state-of-the-art facilities ",,,,,,,,,,,,,,,,,,,,,,,,
Can I switch to the online mode of study if I have been studying on campus?,"Students enrolled in online programs cannot switch to on-campus study, and vice versa. However, if an on-campus student finds themselves unable to continue attending classes, we recommend getting guidance and support regarding the possibility of a study break with their faculty.",,,,,,,,,,,,,,,,,,,,,,,,
Can a student transferring from another university continue their current programme online at IUEA?,"No. while students transferring from another institution of higher education can join IUEA's online mode of study, they will need to restart their studies from the beginning of their program, starting in Year 1, Semester 1.",,,,,,,,,,,,,,,,,,,,,,,,
Can a student transferring from another university continue their current programme on-campus at IUEA?,"Yes. Transfer students can continue their studies on-campus at IUEA without having to start from year 1, semester 1. ",,,,,,,,,,,,,,,,,,,,,,,,
Do you have online study programmes?,"Yes, IUEA is accredited by the National Council for Higher Education to conduct online classes.",,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: TUITION FEES,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR BACHELOR PROGRAMMES IN BUSINESS AND MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition Fee for a Bachelor of Business Administration?,A bachelor of Business Administration has a tuition fee of 565 dollars for Ugandan students and 680 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition Fee for a Bachelor of Public Administration?,A bachelor of Public Administration has a tuition fee of 565 dollars for Ugandan students and 680 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Bachelor of Journalism and Communication Studies ,The tuition fee for a Bachelor of Journalism and Communication Studies is 700 dollars per semester for Ugandan students and 800 dollars for international students.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition Fee for a Bachelor of Procurement and Logistics Management?,A Bachelor of Procurement and Logistics Management has a tuition fee of 565 dollars for Ugandan students and 680 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition Fee for a Bachelor of Tourism and Hotel Management?,A bachelor of Tourism and Hotel Management has a tuition fee of 565 dollars for Ugandan students and 680 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition Fee for a Bachelor of Human Resource Management?,A bachelor of Human Resource Management has a tuition fee of 565 dollars for Ugandan students and 680 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR MASTER PROGRAMMES IN BUSINESS AND MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for Master of Business Administration?,Master of Business Administration (MBA) has a tuition fee of 430 dollars per semester for both international and Ugandan Students.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR BACHELOR PROGRAMMES IN SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
